평점,제목,리뷰
10,목격자,  연기 개잘해서 시간 가는줄 모르고 봄이 영화에서 뭘 보여주는지 모르겠으면 영화 다시 보길 보고 느끼는게없음인간아님안본사람들ㄹㅇ꼭 보세요 한시도 눈을 땔 수 없고무서운거 싫어하는데 숨바꼭질만큼은 아니지만 개무섭고 개재밌음 또  보고싶은 영화 다  
2,인랑,  배우땜에 망한줄 알았는데 영화가 그냥  재미없음  리얼은 똘기라도 있지 이건 머 ㅋ 그냥 노잼  
8,공작,  재니있었다사실을알게되었다  
10,러시 아워,  띵작ㅋㅋㅋㅋ년지난 지금봐도 아무것도 안꿇린다 액션 코미디 스토리 적당한 러닝타임 모든걸 다잡은 탑급 오락영화   
10,공작,  북한미화라니좌파라니 전혀 미화 아니고 물론 허구적 내용도 있겠지만 숨겨진 일을 찾진 못 할 망정 밝혀진 일은 눈 크게 뜨고 세상을 바라봅시다   
1,신과함께-인과 연,  지루해서 팝콘만 먹었음재밌는 장면도있는데너무지루함  
8,공작,  연기력은 다들 뛰어난 배우들 영화내용이 사실이라면 정말 큰 문제일듯 사실이 아닐거라 믿을께요   
6,메가로돈,  큰 죠스 영화애들 취향인듯 하네요  
10,신세계,  이영화의 가장큰장점은 군더더기가 없다는점다크나이트 같이  
1,목격자,  년 살았는데 영화보다가 오줌싸러간거 첨이다  
1,목격자,  년 살았는데 영화보다가 오줌싸러간거 첨이다  
1,인랑,  출연진은 무슨 죄냐  
8,공작,  배우들의 연기가 빛납니다  
8,메가로돈,  사람 팔잘린게 나오는데 세는 아닌것같아요  
10,어느 가족,  따뜻한 영화 가슴 뭉클한 영화  
6,공작,  영화는 좋았으나 북한얘기가 너무 어처구니가 없네요  
8,공작,  배우들 연기도 좋구 내용도 굿잡  
10,사라진 밤,  끝날때까지 집중해서봣네요  
6,인랑,  극장에서 보긴 돈 아깝고 집에서 보긴 그럭저럭 개연성이 떨어지네 설명이 너무 부족함 박진감이 조금 더 넘쳤다면 덜 지루했을텐데  
10,목격자,  스토리부터가 흥미진진 탄탄 추격 스릴러 영화 좋아하면  강추ㄱㄱ  
10,퓨리,  거칠고 슬프지만 브래드피트매력에 푹빠진영화  
8,맘마미아!2,  모녀가  보면 좋을 영화  딸이랑  봤는데 좋았어요  
1,목격자,  이걸보고 재밌다 하는 사람들 영화 보기라도하고 쓰는거냐 디 워 다음으로 최악의 영화였다 감독이 시나리오쓰다보니 이야기가 산으로가서 진짜 산사태 낸 영화네  
10,마녀,  오랜만에 잘봣어요마녀 보고싶어요ㅜㅜ  
6,곤지암,  화면이 흔들려서 어질어질ㅋ  
7,신과함께-인과 연,  김수홍 캐릭터가 필요이상으로 너무 까칠하고 시니컬해서 보기불편했던거랑 현재의 깨방정 해원맥캐릭터 그리고  무슨 ㄱ나ㅅ나 죄다 귀인이라고하니까 정말 귀인이란게 년에 명밖에 안나올정도로 귀한망자인건가싶을정도로 어처구니없었던거 빼고 좋았다  
8,공작,  배우들연기가역시 굿굿  
10,목격자,  공작도 재밌게 봤는데 목격자도 재밋네용 이성민씨 팬되겠어요ㅋ  
10,목격자,  진짜 나만 아니면 되는 사회  
8,공작,  그냥그저그랬습니다ㅎㅎㅎㅎ  
6,챔피언,  그냥 가족영화 스토리가 다보이는  
8,신과함께-인과 연,  딸과 함께 본 신과함께편보다 재이있었습니다장르를 논하기 어려운 코미디  고전 패러디 휴먼이 깊이없지만 재밌게 믹스된 하이브리드 영화  
2,목격자,  평점 점이라 기대했는데 완전 실망 맨 초반부하고 맨 마지막 장면만 그나마 임팩트있고  나머지는 다 지루하고 고구마전개 답답해서 미치는줄  산사태 일어났을때는 코미디인줄 알았다 주인공 진짜 답답하고 경찰은 너무 무능력함  
1,신과함께-인과 연,  이걸 영화라고 해외에 돌아다니다니 쪽팔려 죽겠다   
10,신과함께-인과 연,  재밋엇다 여운도 만히남고 꿀잼  
10,미션 임파서블: 폴아웃,  톰크루즈 단점이없는 사람  
1,목격자,  너무 뻔한 흐름 진부함  
10,명탐정 코난 : 제로의 집행인,  아무로 레이 사야 아즈나블  
8,신과함께-인과 연,  웃으면서 잘봤네요재미있었어요  
8,어벤져스: 인피니티 워,  볼만합ㄴㄱ다 재미있습니다   
10,더 테이블,  번째가 내공이 다르다  
